gene_ID,transcript_ID,protein_ID
LOC118409838,XM_035811194.1,XP_035667087.1
LOC118409839,XM_035811208.1,XP_035667101.1
LOC118409840,XM_035811196.1,XP_035667089.1
LOC118409841,XM_035811197.1,XP_035667090.1
LOC118409842,XM_035811201.1,XP_035667094.1
LOC118409843,XM_035811203.1,XP_035667096.1
LOC118409844,XM_035811204.1,XP_035667097.1
LOC118409845,XM_035811207.1,XP_035667100.1
LOC118409846,XM_035811209.1,XP_035667102.1
LOC118409847,XM_035811210.1,XP_035667103.1
LOC118409848,XM_035811211.1,XP_035667104.1
LOC118409849,XM_035811213.1,XP_035667106.1
LOC118409850,XM_035811214.1,XP_035667107.1
LOC118409851,XM_035811215.1,XP_035667108.1
LOC118409852,XM_035811217.1,XP_035667110.1
LOC118409853,XM_035811218.1,XP_035667111.1
LOC118409857,XM_035811219.1,XP_035667112.1
LOC118409858,XM_035811222.1,XP_035667115.1
LOC118409859,XM_035811226.1,XP_035667119.1
LOC118409860,XM_035811223.1,XP_035667116.1
LOC118409861,XM_035811225.1,XP_035667118.1
LOC118409862,XM_035811227.1,XP_035667120.1
LOC118409863,XM_035811228.1,XP_035667121.1
LOC118409864,XM_035811229.1,XP_035667122.1
LOC118409865,XM_035811230.1,XP_035667123.1
LOC118409866,XM_035811234.1,XP_035667127.1
LOC118409867,XM_035811236.1,XP_035667129.1
LOC118409868,XM_035811237.1,XP_035667130.1
LOC118409869,XM_035811238.1,XP_035667131.1
LOC118409870,XM_035811239.1,XP_035667132.1
LOC118409871,XM_035811240.1,XP_035667133.1
LOC118409873,XM_035811241.1,XP_035667134.1
LOC118409874,XM_035811246.1,XP_035667139.1
LOC118409875,XM_035811243.1,XP_035667136.1
LOC118409876,XM_035811244.1,XP_035667137.1
LOC118409877,XM_035811245.1,XP_035667138.1
LOC118409878,XM_035811282.1,XP_035667175.1
LOC118409879,XM_035811249.1,XP_035667142.1
LOC118409880,XM_035811252.1,XP_035667145.1
LOC118409881,XM_035811253.1,XP_035667146.1
LOC118409882,XM_035811254.1,XP_035667147.1
LOC118409884,XM_035811255.1,XP_035667148.1
LOC118409886,XM_035811257.1,XP_035667150.1
LOC118409887,XM_035811259.1,XP_035667152.1
LOC118409888,XM_035811265.1,XP_035667158.1
LOC118409889,XM_035811261.1,XP_035667154.1
LOC118409890,XM_035811263.1,XP_035667156.1
LOC118409891,XM_035811264.1,XP_035667157.1
LOC118409892,XM_035811267.1,XP_035667160.1
LOC118409893,XM_035811268.1,XP_035667161.1
LOC118409894,XM_035811269.1,XP_035667162.1
LOC118409895,XM_035811270.1,XP_035667163.1
LOC118409897,XM_035811271.1,XP_035667164.1
LOC118409898,XM_035811274.1,XP_035667167.1
LOC118409899,XM_035811272.1,XP_035667165.1
LOC118409900,XM_035811273.1,XP_035667166.1
LOC118409901,XM_035811275.1,XP_035667168.1
LOC118409902,XM_035811276.1,XP_035667169.1
LOC118409903,XM_035811277.1,XP_035667170.1
LOC118409904,XM_035811279.1,XP_035667172.1
LOC118409906,XM_035811281.1,XP_035667174.1
LOC118409907,XM_035811287.1,XP_035667180.1
LOC118409908,XM_035811284.1,XP_035667177.1
LOC118409909,XM_035811286.1,XP_035667179.1
LOC118409910,XM_035811288.1,XP_035667181.1
LOC118409911,XM_035811289.1,XP_035667182.1
LOC118409912,XM_035811294.1,XP_035667187.1
LOC118409913,XM_035811295.1,XP_035667188.1
LOC118409914,XM_035811299.1,XP_035667192.1
LOC118409915,XM_035811300.1,XP_035667193.1
LOC118409916,XM_035811301.1,XP_035667194.1
LOC118409918,XM_035811305.1,XP_035667198.1
LOC118409919,XM_035811309.1,XP_035667202.1
LOC118409920,XM_035811310.1,XP_035667203.1
LOC118409921,XM_035811311.1,XP_035667204.1
LOC118409922,XM_035811316.1,XP_035667209.1
LOC118409923,XM_035811313.1,XP_035667206.1
LOC118409924,XM_035811314.1,XP_035667207.1
LOC118409925,XM_035811315.1,XP_035667208.1
LOC118409926,XM_035811317.1,XP_035667210.1
LOC118409927,XM_035811321.1,XP_035667214.1
LOC118409928,XM_035811325.1,XP_035667218.1
LOC118409929,XM_035811327.1,XP_035667220.1
LOC118409930,XM_035811328.1,XP_035667221.1
LOC118409931,XM_035811330.1,XP_035667223.1
LOC118409932,XM_035811333.1,XP_035667226.1
LOC118409933,XM_035811334.1,XP_035667227.1
LOC118409934,XM_035811336.1,XP_035667229.1
LOC118409935,XM_035811337.1,XP_035667230.1
LOC118409936,XM_035811339.1,XP_035667232.1
LOC118409937,XM_035811340.1,XP_035667233.1
LOC118409938,XM_035811341.1,XP_035667234.1
LOC118409939,XM_035811344.1,XP_035667237.1
LOC118409940,XM_035811345.1,XP_035667238.1
LOC118409941,XM_035811346.1,XP_035667239.1
LOC118409942,XM_035811353.1,XP_035667246.1
LOC118409943,XM_035811355.1,XP_035667248.1
LOC118409944,XM_035811357.1,XP_035667250.1
LOC118409945,XM_035811358.1,XP_035667251.1
LOC118409946,XM_035811359.1,XP_035667252.1
LOC118409947,XM_035811360.1,XP_035667253.1
LOC118409948,XM_035811362.1,XP_035667255.1
LOC118409949,XM_035811363.1,XP_035667256.1
LOC118409950,XM_035811364.1,XP_035667257.1
LOC118409951,XM_035811365.1,XP_035667258.1
LOC118409952,XM_035811368.1,XP_035667261.1
LOC118409953,XM_035811407.1,XP_035667300.1
LOC118409954,XM_035811370.1,XP_035667263.1
LOC118409955,XM_035811371.1,XP_035667264.1
LOC118409956,XM_035811372.1,XP_035667265.1
LOC118409957,XM_035811374.1,XP_035667267.1
LOC118409958,XM_035811375.1,XP_035667268.1
LOC118409959,XM_035811379.1,XP_035667272.1
LOC118409960,XM_035811380.1,XP_035667273.1
LOC118409964,XM_035811381.1,XP_035667274.1
LOC118409965,XM_035811382.1,XP_035667275.1
LOC118409966,XM_035811384.1,XP_035667277.1
LOC118409967,XM_035811386.1,XP_035667279.1
LOC118409969,XM_035811389.1,XP_035667282.1
LOC118409970,XM_035811396.1,XP_035667289.1
LOC118409971,XM_035811398.1,XP_035667291.1
LOC118409972,XM_035811399.1,XP_035667292.1
LOC118409975,XM_035811401.1,XP_035667294.1
LOC118409976,XM_035811402.1,XP_035667295.1
LOC118409977,XM_035811403.1,XP_035667296.1
LOC118409978,XM_035811404.1,XP_035667297.1
LOC118409979,XM_035811405.1,XP_035667298.1
LOC118409980,XM_035811406.1,XP_035667299.1
LOC118409981,XM_035811409.1,XP_035667302.1
LOC118409982,XM_035811412.1,XP_035667305.1
LOC118409983,XM_035811413.1,XP_035667306.1
LOC118409984,XM_035811414.1,XP_035667307.1
LOC118409985,XM_035811415.1,XP_035667308.1
LOC118409986,XM_035811417.1,XP_035667310.1
LOC118409987,XM_035811418.1,XP_035667311.1
LOC118409988,XM_035811420.1,XP_035667313.1
LOC118409989,XM_035811421.1,XP_035667314.1
LOC118409990,XM_035811431.1,XP_035667324.1
LOC118409991,XM_035811432.1,XP_035667325.1
LOC118409992,XM_035811433.1,XP_035667326.1
LOC118409993,XM_035811439.1,XP_035667332.1
LOC118409995,XM_035811440.1,XP_035667333.1
LOC118409997,XM_035811441.1,XP_035667334.1
LOC118409998,XM_035811443.1,XP_035667336.1
LOC118409999,XM_035811444.1,XP_035667337.1
LOC118410000,XM_035811445.1,XP_035667338.1
LOC118410001,XM_035811446.1,XP_035667339.1
LOC118410003,XM_035811447.1,XP_035667340.1
LOC118410004,XM_035811449.1,XP_035667342.1
LOC118410005,XM_035811451.1,XP_035667344.1
LOC118410006,XM_035811452.1,XP_035667345.1
LOC118410007,XM_035811453.1,XP_035667346.1
LOC118410008,XM_035811455.1,XP_035667348.1
LOC118410009,XM_035811456.1,XP_035667349.1
LOC118410010,XM_035811462.1,XP_035667355.1
LOC118410011,XM_035811458.1,XP_035667351.1
LOC118410012,XM_035811460.1,XP_035667353.1
LOC118410013,XM_035811461.1,XP_035667354.1
LOC118410014,XM_035811463.1,XP_035667356.1
LOC118410015,XM_035811464.1,XP_035667357.1
LOC118410016,XM_035811467.1,XP_035667360.1
LOC118410018,XM_035811468.1,XP_035667361.1
LOC118410019,XM_035811470.1,XP_035667363.1
LOC118410020,XM_035811471.1,XP_035667364.1
LOC118410021,XM_035811472.1,XP_035667365.1
LOC118410022,XM_035811476.1,XP_035667369.1
LOC118410024,XM_035811479.1,XP_035667372.1
LOC118410026,XM_035811480.1,XP_035667373.1
LOC118410027,XM_035811485.1,XP_035667378.1
LOC118410028,XM_035811488.1,XP_035667381.1
LOC118410029,XM_035811493.1,XP_035667386.1
LOC118410030,XM_035811881.1,XP_035667774.1
LOC118410031,XM_035811532.1,XP_035667425.1
LOC118410032,XM_035811494.1,XP_035667387.1
LOC118410033,XM_035811495.1,XP_035667388.1
LOC118410034,XM_035811499.1,XP_035667392.1
LOC118410035,XM_035811496.1,XP_035667389.1
LOC118410036,XM_035811497.1,XP_035667390.1
LOC118410037,XM_035811498.1,XP_035667391.1
LOC118410038,XM_035811501.1,XP_035667394.1
LOC118410039,XM_035811507.1,XP_035667400.1
LOC118410040,XM_035811509.1,XP_035667402.1
LOC118410041,XM_035811510.1,XP_035667403.1
LOC118410042,XM_035811511.1,XP_035667404.1
LOC118410043,XM_035811512.1,XP_035667405.1
LOC118410044,XM_035811513.1,XP_035667406.1
LOC118410045,XM_035811514.1,XP_035667407.1
LOC118410046,XM_035811520.1,XP_035667413.1
LOC118410047,XM_035811519.1,XP_035667412.1
LOC118410048,XM_035811521.1,XP_035667414.1
LOC118410049,XM_035811522.1,XP_035667415.1
LOC118410050,XM_035811524.1,XP_035667417.1
LOC118410051,XM_035811529.1,XP_035667422.1
LOC118410052,XM_035811533.1,XP_035667426.1
LOC118410053,XM_035811530.1,XP_035667423.1
LOC118410055,XM_035811531.1,XP_035667424.1
LOC118410056,XM_035811534.1,XP_035667427.1
LOC118410058,XM_035811536.1,XP_035667429.1
LOC118410059,XM_035811537.1,XP_035667430.1
LOC118410060,XM_035811538.1,XP_035667431.1
LOC118410061,XM_035811539.1,XP_035667432.1
LOC118410062,XM_035811540.1,XP_035667433.1
LOC118410063,XM_035811545.1,XP_035667438.1
LOC118410064,XM_035811543.1,XP_035667436.1
LOC118410065,XM_035811544.1,XP_035667437.1
LOC118410066,XM_035811546.1,XP_035667439.1
LOC118410067,XM_035811547.1,XP_035667440.1
LOC118410068,XM_035811548.1,XP_035667441.1
LOC118410069,XM_035811549.1,XP_035667442.1
LOC118410071,XM_035811550.1,XP_035667443.1
LOC118410072,XM_035811551.1,XP_035667444.1
LOC118410073,XM_035811554.1,XP_035667447.1
LOC118410074,XM_035811556.1,XP_035667449.1
LOC118410076,XM_035811557.1,XP_035667450.1
LOC118410077,XM_035811558.1,XP_035667451.1
LOC118410078,XM_035811560.1,XP_035667453.1
LOC118410079,XM_035811561.1,XP_035667454.1
LOC118410080,XM_035811562.1,XP_035667455.1
LOC118410081,XM_035811563.1,XP_035667456.1
LOC118410082,XM_035811564.1,XP_035667457.1
LOC118410083,XM_035811565.1,XP_035667458.1
LOC118410084,XM_035811569.1,XP_035667462.1
LOC118410085,XM_035811570.1,XP_035667463.1
LOC118410086,XM_035811571.1,XP_035667464.1
LOC118410087,XM_035811573.1,XP_035667466.1
LOC118410088,XM_035811578.1,XP_035667471.1
LOC118410089,XM_035811579.1,XP_035667472.1
LOC118410090,XM_035811580.1,XP_035667473.1
LOC118410091,XM_035811581.1,XP_035667474.1
LOC118410093,XM_035811583.1,XP_035667476.1
LOC118410094,XM_035811586.1,XP_035667479.1
LOC118410096,XM_035811584.1,XP_035667477.1
LOC118410098,XM_035811585.1,XP_035667478.1
LOC118410099,XM_035811587.1,XP_035667480.1
LOC118410100,XM_035811588.1,XP_035667481.1
LOC118410101,XM_035811597.1,XP_035667490.1
LOC118410102,XM_035811601.1,XP_035667494.1
LOC118410103,XM_035811605.1,XP_035667498.1
LOC118410104,XM_035811609.1,XP_035667502.1
LOC118410105,XM_035811606.1,XP_035667499.1
LOC118410106,XM_035811607.1,XP_035667500.1
LOC118410107,XM_035811614.1,XP_035667507.1
LOC118410108,XM_035811658.1,XP_035667551.1
LOC118410109,XM_035811623.1,XP_035667516.1
LOC118410110,XM_035811620.1,XP_035667513.1
LOC118410111,XM_035811621.1,XP_035667514.1
LOC118410112,XM_035811622.1,XP_035667515.1
LOC118410113,XM_035811624.1,XP_035667517.1
LOC118410114,XM_035811625.1,XP_035667518.1
LOC118410115,XM_035811627.1,XP_035667520.1
LOC118410116,XM_035811628.1,XP_035667521.1
LOC118410117,XM_035811629.1,XP_035667522.1
LOC118410118,XM_035811630.1,XP_035667523.1
LOC118410119,XM_035811632.1,XP_035667525.1
LOC118410120,XM_035811634.1,XP_035667527.1
LOC118410121,XM_035811640.1,XP_035667533.1
LOC118410122,XM_035811642.1,XP_035667535.1
LOC118410123,XM_035811644.1,XP_035667537.1
LOC118410124,XM_035811645.1,XP_035667538.1
LOC118410125,XM_035811646.1,XP_035667539.1
LOC118410126,XM_035811648.1,XP_035667541.1
LOC118410127,XM_035811653.1,XP_035667546.1
LOC118410128,XM_035811650.1,XP_035667543.1
LOC118410129,XM_035811654.1,XP_035667547.1
LOC118410130,XM_035811655.1,XP_035667548.1
LOC118410131,XM_035811656.1,XP_035667549.1
LOC118410132,XM_035811657.1,XP_035667550.1
LOC118410133,XM_035811659.1,XP_035667552.1
LOC118410134,XM_035811660.1,XP_035667553.1
LOC118410135,XM_035811661.1,XP_035667554.1
LOC118410136,XM_035811665.1,XP_035667558.1
LOC118410137,XM_035811666.1,XP_035667559.1
LOC118410138,XM_035811667.1,XP_035667560.1
LOC118410139,XM_035811669.1,XP_035667562.1
LOC118410140,XM_035811671.1,XP_035667564.1
LOC118410145,XM_035811673.1,XP_035667566.1
LOC118410146,XM_035811674.1,XP_035667567.1
LOC118410147,XM_035811675.1,XP_035667568.1
LOC118410148,XM_035811677.1,XP_035667570.1
LOC118410151,XM_035811682.1,XP_035667575.1
LOC118410152,XM_035811683.1,XP_035667576.1
LOC118410153,XM_035811689.1,XP_035667582.1
LOC118410154,XM_035811685.1,XP_035667578.1
LOC118410155,XM_035811687.1,XP_035667580.1
LOC118410156,XM_035811688.1,XP_035667581.1
LOC118410158,XM_035811690.1,XP_035667583.1
LOC118410159,XM_035811691.1,XP_035667584.1
LOC118410160,XM_035811692.1,XP_035667585.1
LOC118410161,XM_035811693.1,XP_035667586.1
LOC118410162,XM_035811694.1,XP_035667587.1
LOC118410163,XM_035811695.1,XP_035667588.1
LOC118410164,XM_035811700.1,XP_035667593.1
LOC118410165,XM_035811696.1,XP_035667589.1
LOC118410166,XM_035811699.1,XP_035667592.1
LOC118410167,XM_035811701.1,XP_035667594.1
LOC118410168,XM_035811704.1,XP_035667597.1
LOC118410169,XM_035811706.1,XP_035667599.1
LOC118410170,XM_035811707.1,XP_035667600.1
LOC118410171,XM_035811712.1,XP_035667605.1
LOC118410172,XM_035811710.1,XP_035667603.1
LOC118410173,XM_035811711.1,XP_035667604.1
LOC118410174,XM_035811713.1,XP_035667606.1
LOC118410175,XM_035811714.1,XP_035667607.1
LOC118410176,XM_035811715.1,XP_035667608.1
LOC118410177,XM_035811716.1,XP_035667609.1
LOC118410178,XM_035811717.1,XP_035667610.1
LOC118410179,XM_035811718.1,XP_035667611.1
LOC118410180,XM_035811719.1,XP_035667612.1
LOC118410181,XM_035811724.1,XP_035667617.1
LOC118410182,XM_035811721.1,XP_035667614.1
LOC118410183,XM_035811723.1,XP_035667616.1
LOC118410184,XM_035811726.1,XP_035667619.1
LOC118410185,XM_035811727.1,XP_035667620.1
LOC118410186,XM_035811728.1,XP_035667621.1
LOC118410187,XM_035811771.1,XP_035667664.1
LOC118410188,XM_035811729.1,XP_035667622.1
LOC118410189,XM_035811730.1,XP_035667623.1
LOC118410190,XM_035811731.1,XP_035667624.1
LOC118410191,XM_035811733.1,XP_035667626.1
LOC118410192,XM_035811735.1,XP_035667628.1
LOC118410193,XM_035811736.1,XP_035667629.1
LOC118410194,XM_035811737.1,XP_035667630.1
LOC118410195,XM_035811742.1,XP_035667635.1
LOC118410196,XM_035811745.1,XP_035667638.1
LOC118410197,XM_035811746.1,XP_035667639.1
LOC118410198,XM_035811747.1,XP_035667640.1
LOC118410199,XM_035811749.1,XP_035667642.1
LOC118410200,XM_035811754.1,XP_035667647.1
LOC118410201,XM_035811750.1,XP_035667643.1
LOC118410202,XM_035811753.1,XP_035667646.1
LOC118410203,XM_035811755.1,XP_035667648.1
LOC118410204,XM_035811756.1,XP_035667649.1
LOC118410205,XM_035811758.1,XP_035667651.1
LOC118410206,XM_035811762.1,XP_035667655.1
LOC118410207,XM_035811767.1,XP_035667660.1
LOC118410208,XM_035811764.1,XP_035667657.1
LOC118410209,XM_035811766.1,XP_035667659.1
LOC118410210,XM_035811768.1,XP_035667661.1
LOC118410211,XM_035811769.1,XP_035667662.1
LOC118410212,XM_035811773.1,XP_035667666.1
LOC118410213,XM_035811775.1,XP_035667668.1
LOC118410214,XM_035811776.1,XP_035667669.1
LOC118410216,XM_035811778.1,XP_035667671.1
LOC118410217,XM_035811779.1,XP_035667672.1
LOC118410218,XM_035811780.1,XP_035667673.1
LOC118410219,XM_035811781.1,XP_035667674.1
LOC118410220,XM_035811782.1,XP_035667675.1
LOC118410221,XM_035811783.1,XP_035667676.1
LOC118410222,XM_035811793.1,XP_035667686.1
LOC118410223,XM_035811784.1,XP_035667677.1
LOC118410224,XM_035811785.1,XP_035667678.1
LOC118410225,XM_035811786.1,XP_035667679.1
LOC118410226,XM_035811788.1,XP_035667681.1
LOC118410228,XM_035811789.1,XP_035667682.1
LOC118410230,XM_035811791.1,XP_035667684.1
LOC118410231,XM_035811792.1,XP_035667685.1
LOC118410233,XM_035811794.1,XP_035667687.1
LOC118410234,XM_035811795.1,XP_035667688.1
LOC118410235,XM_035811796.1,XP_035667689.1
LOC118410236,XM_035811797.1,XP_035667690.1
LOC118410237,XM_035811799.1,XP_035667692.1
LOC118410238,XM_035811803.1,XP_035667696.1
LOC118410239,XM_035811800.1,XP_035667693.1
LOC118410240,XM_035811802.1,XP_035667695.1
LOC118410241,XM_035811804.1,XP_035667697.1
LOC118410242,XM_035811805.1,XP_035667698.1
LOC118410243,XM_035811806.1,XP_035667699.1
LOC118410246,XM_035811807.1,XP_035667700.1
LOC118410247,XM_035811809.1,XP_035667702.1
LOC118410248,XM_035811813.1,XP_035667706.1
LOC118410249,XM_035811810.1,XP_035667703.1
LOC118410251,XM_035811811.1,XP_035667704.1
LOC118410252,XM_035811812.1,XP_035667705.1
LOC118410253,XM_035811814.1,XP_035667707.1
LOC118410254,XM_035811815.1,XP_035667708.1
LOC118410257,XM_035811816.1,XP_035667709.1
LOC118410259,XM_035811818.1,XP_035667711.1
LOC118410260,XM_035811822.1,XP_035667715.1
LOC118410261,XM_035811819.1,XP_035667712.1
LOC118410262,XM_035811820.1,XP_035667713.1
LOC118410263,XM_035811821.1,XP_035667714.1
LOC118410264,XM_035811823.1,XP_035667716.1
LOC118410265,XM_035811824.1,XP_035667717.1
LOC118410267,XM_035811825.1,XP_035667718.1
LOC118410268,XM_035811826.1,XP_035667719.1
LOC118410269,XM_035811827.1,XP_035667720.1
LOC118410270,XM_035811828.1,XP_035667721.1
LOC118410271,XM_035811832.1,XP_035667725.1
LOC118410272,XM_035811830.1,XP_035667723.1
LOC118410273,XM_035811831.1,XP_035667724.1
LOC118410274,XM_035811833.1,XP_035667726.1
LOC118410275,XM_035811834.1,XP_035667727.1
LOC118410276,XM_035811836.1,XP_035667729.1
LOC118410277,XM_035811837.1,XP_035667730.1
LOC118410278,XM_035811838.1,XP_035667731.1
LOC118410279,XM_035811839.1,XP_035667732.1
LOC118410280,XM_035811882.1,XP_035667775.1
LOC118410281,XM_035811844.1,XP_035667737.1
LOC118410282,XM_035811841.1,XP_035667734.1
LOC118410283,XM_035811842.1,XP_035667735.1
LOC118410284,XM_035811846.1,XP_035667739.1
LOC118410285,XM_035811847.1,XP_035667740.1
LOC118410286,XM_035811848.1,XP_035667741.1
LOC118410287,XM_035811849.1,XP_035667742.1
LOC118410288,XM_035811850.1,XP_035667743.1
LOC118410290,XM_035811854.1,XP_035667747.1
LOC118410291,XM_035811851.1,XP_035667744.1
LOC118410293,XM_035811852.1,XP_035667745.1
LOC118410294,XM_035811853.1,XP_035667746.1
LOC118410295,XM_035811855.1,XP_035667748.1
LOC118410296,XM_035811856.1,XP_035667749.1
LOC118410297,XM_035811860.1,XP_035667753.1
LOC118410298,XM_035811861.1,XP_035667754.1
LOC118410299,XM_035811867.1,XP_035667760.1
LOC118410300,XM_035811870.1,XP_035667763.1
LOC118410301,XM_035811871.1,XP_035667764.1
LOC118410302,XM_035811872.1,XP_035667765.1
LOC118410303,XM_035811873.1,XP_035667766.1
LOC118410304,XM_035811876.1,XP_035667769.1
LOC118410305,XM_035811883.1,XP_035667776.1
LOC118410306,XM_035811877.1,XP_035667770.1
LOC118410307,XM_035811885.1,XP_035667778.1
LOC118410309,XM_035811886.1,XP_035667779.1
LOC118410310,XM_035811887.1,XP_035667780.1
LOC118410311,XM_035811889.1,XP_035667782.1
LOC118410312,XM_035811890.1,XP_035667783.1
LOC118410313,XM_035811894.1,XP_035667787.1
LOC118410314,XM_035811891.1,XP_035667784.1
LOC118410315,XM_035811893.1,XP_035667786.1
LOC118410316,XM_035811898.1,XP_035667791.1
LOC118410317,XM_035811900.1,XP_035667793.1
LOC118410318,XM_035811901.1,XP_035667794.1
LOC118410319,XM_035811902.1,XP_035667795.1
LOC118410320,XM_035811904.1,XP_035667797.1
LOC118410321,XM_035811906.1,XP_035667799.1
LOC118410322,XM_035811907.1,XP_035667800.1
LOC118410323,XM_035811908.1,XP_035667801.1
LOC118410324,XM_035811909.1,XP_035667802.1
LOC118410325,XM_035811910.1,XP_035667803.1
LOC118410326,XM_035811916.1,XP_035667809.1
LOC118410327,XM_035811923.1,XP_035667816.1
LOC118410328,XM_035811942.1,XP_035667835.1
LOC118410329,XM_035811941.1,XP_035667834.1
LOC118410331,XM_035811947.1,XP_035667840.1
LOC118410332,XM_035811948.1,XP_035667841.1
LOC118410333,XM_035811950.1,XP_035667843.1
LOC118410334,XM_035811952.1,XP_035667845.1
LOC118410335,XM_035811953.1,XP_035667846.1
LOC118410336,XM_035811954.1,XP_035667847.1
LOC118410337,XM_035811955.1,XP_035667848.1
LOC118410338,XM_035811957.1,XP_035667850.1
LOC118410339,XM_035811986.1,XP_035667879.1
LOC118410340,XM_035811963.1,XP_035667856.1
LOC118410341,XM_035812025.1,XP_035667918.1
LOC118410342,XM_035812005.1,XP_035667898.1
LOC118410343,XM_035812006.1,XP_035667899.1
LOC118410344,XM_035812010.1,XP_035667903.1
LOC118410345,XM_035812007.1,XP_035667900.1
LOC118410346,XM_035812008.1,XP_035667901.1
LOC118410347,XM_035812009.1,XP_035667902.1
LOC118410348,XM_035812011.1,XP_035667904.1
LOC118410349,XM_035812012.1,XP_035667905.1
LOC118410350,XM_035812013.1,XP_035667906.1
LOC118410351,XM_035812017.1,XP_035667910.1
LOC118410352,XM_035812028.1,XP_035667921.1
LOC118410353,XM_035812034.1,XP_035667927.1
LOC118410354,XM_035812037.1,XP_035667930.1
LOC118410355,XM_035812038.1,XP_035667931.1
LOC118410356,XM_035812039.1,XP_035667932.1
LOC118410357,XM_035812043.1,XP_035667936.1
LOC118410358,XM_035812040.1,XP_035667933.1
LOC118410359,XM_035812041.1,XP_035667934.1
LOC118410360,XM_035812042.1,XP_035667935.1
LOC118410361,XM_035812044.1,XP_035667937.1
LOC118410362,XM_035812045.1,XP_035667938.1
LOC118410363,XM_035812046.1,XP_035667939.1
LOC118410364,XM_035812052.1,XP_035667945.1
LOC118410365,XM_035812056.1,XP_035667949.1
LOC118410366,XM_035812053.1,XP_035667946.1
LOC118410367,XM_035812054.1,XP_035667947.1
LOC118410368,XM_035812055.1,XP_035667948.1
LOC118410369,XM_035812057.1,XP_035667950.1
LOC118410370,XM_035812058.1,XP_035667951.1
LOC118410371,XM_035812059.1,XP_035667952.1
LOC118410372,XM_035812060.1,XP_035667953.1
LOC118410373,XM_035812062.1,XP_035667955.1
LOC118410374,XM_035812063.1,XP_035667956.1
LOC118410375,XM_035812065.1,XP_035667958.1
LOC118410376,XM_035812066.1,XP_035667959.1
LOC118410377,XM_035812067.1,XP_035667960.1
LOC118410378,XM_035812068.1,XP_035667961.1
LOC118410379,XM_035812069.1,XP_035667962.1
LOC118410380,XM_035812070.1,XP_035667963.1
LOC118410384,XM_035812072.1,XP_035667965.1
LOC118410385,XM_035812075.1,XP_035667968.1
LOC118410387,XM_035812078.1,XP_035667971.1
LOC118410388,XM_035812079.1,XP_035667972.1
LOC118410389,XM_035812080.1,XP_035667973.1
LOC118410390,XM_035812081.1,XP_035667974.1
LOC118410391,XM_035812082.1,XP_035667975.1
LOC118410392,XM_035812084.1,XP_035667977.1
LOC118410393,XM_035812088.1,XP_035667981.1
LOC118410394,XM_035812085.1,XP_035667978.1
LOC118410395,XM_035812089.1,XP_035667982.1
LOC118410396,XM_035812090.1,XP_035667983.1
LOC118410397,XM_035812091.1,XP_035667984.1
LOC118410398,XM_035812092.1,XP_035667985.1
LOC118410399,XM_035812093.1,XP_035667986.1
LOC118410400,XM_035812095.1,XP_035667988.1
LOC118410401,XM_035812096.1,XP_035667989.1
LOC118410402,XM_035812109.1,XP_035668002.1
LOC118410403,XM_035812097.1,XP_035667990.1
LOC118410404,XM_035812098.1,XP_035667991.1
LOC118410405,XM_035812103.1,XP_035667996.1
LOC118410406,XM_035812104.1,XP_035667997.1
LOC118410407,XM_035812148.1,XP_035668041.1
LOC118410408,XM_035812105.1,XP_035667998.1
LOC118410409,XM_035812106.1,XP_035667999.1
LOC118410410,XM_035812107.1,XP_035668000.1
LOC118410411,XM_035812110.1,XP_035668003.1
LOC118410412,XM_035812111.1,XP_035668004.1
LOC118410413,XM_035812140.1,XP_035668033.1
LOC118410414,XM_035812129.1,XP_035668022.1
LOC118410415,XM_035812130.1,XP_035668023.1
LOC118410416,XM_035812131.1,XP_035668024.1
LOC118410417,XM_035812132.1,XP_035668025.1
LOC118410418,XM_035812134.1,XP_035668027.1
LOC118410419,XM_035812135.1,XP_035668028.1
LOC118410421,XM_035812136.1,XP_035668029.1
LOC118410422,XM_035812137.1,XP_035668030.1
LOC118410423,XM_035812138.1,XP_035668031.1
LOC118410424,XM_035812139.1,XP_035668032.1
LOC118410425,XM_035812141.1,XP_035668034.1
LOC118410426,XM_035812143.1,XP_035668036.1
LOC118410427,XM_035812144.1,XP_035668037.1
LOC118410428,XM_035812145.1,XP_035668038.1
LOC118410429,XM_035812150.1,XP_035668043.1
LOC118410430,XM_035812151.1,XP_035668044.1
LOC118410431,XM_035812152.1,XP_035668045.1
LOC118410432,XM_035812153.1,XP_035668046.1
LOC118410433,XM_035812154.1,XP_035668047.1
LOC118410434,XM_035812156.1,XP_035668049.1
LOC118410435,XM_035812158.1,XP_035668051.1
LOC118410436,XM_035812159.1,XP_035668052.1
LOC118410437,XM_035812161.1,XP_035668054.1
LOC118410438,XM_035812162.1,XP_035668055.1
LOC118410439,XM_035812163.1,XP_035668056.1
LOC118410440,XM_035812164.1,XP_035668057.1
LOC118410441,XM_035812166.1,XP_035668059.1
LOC118410442,XM_035812167.1,XP_035668060.1
LOC118410443,XM_035812170.1,XP_035668063.1
LOC118410444,XM_035812174.1,XP_035668067.1
LOC118410445,XM_035812176.1,XP_035668069.1
LOC118410446,XM_035812177.1,XP_035668070.1
LOC118410447,XM_035812178.1,XP_035668071.1
LOC118410448,XM_035812179.1,XP_035668072.1
LOC118410449,XM_035812180.1,XP_035668073.1
LOC118410450,XM_035812181.1,XP_035668074.1
LOC118410451,XM_035812182.1,XP_035668075.1
