"geneID","transcriptID","proteinID","symbol","description"
111570950,"XM_023273968.3","XP_023129736","LOC111570950","olfactory receptor 49-like"
111570951,"XM_035949854.2","XP_035805747","LOC111570951","olfactory receptor 11A1-like"
111570957,"XM_023273975.3","XP_023129743","LOC111570957_ENSAOCG00000020657","olfactory receptor 10R2-like"
111570953,"XM_023273970.3","XP_023129738","LOC111570953_ENSAOCG00000020651","olfactory receptor 11A1-like.2"
111570958,"XM_023273976.3","XP_023129744","LOC111570958","olfactory receptor 490-like"
111570954,"XM_055011887.1","XP_054867862","LOC111570954","olfactory receptor 52K1-like"
111570960,"XM_023273978.3","XP_023129746","ece2b","endothelin converting enzyme 2b"
111570956,"XM_023273974.3","XP_023129742","sst1.1","somatostatin 1, tandem duplicate 1"
111570959,"XM_023273977.3","XP_023129745","sst1.2_ENSAOCG00000020556","somatostatin 1, tandem duplicate 2"
111570955,"XM_055012194.1","XP_054868169","col4a3","collagen, type IV, alpha 3"
111581561,"XM_023289778.3","XP_023145546","col4a4","collagen, type IV, alpha 4"
111586664,"XM_055012315.1","XP_054868290","exoc3l2b_ENSAOCG00000021479","exocyst complex component 3-like 2b"
111579694,"XM_055011874.1","XP_054867849","LOC111579694_cldn15lb","claudin-19-like"
111579678,"XM_023287057.3","XP_023142825","parlb_PARL","presenilin associated, rhomboid-like b"
111579668,"XM_023287046.3","XP_023142814","LOC111579668_ENSAOCG00000013700","nucleotidyltransferase MB21D2"
111562851,"XM_023261616.3","XP_023117384","LOC111562851_fgf12b","fibroblast growth factor 12-like"
111586849,"XM_055012319.1","XP_054868294","LOC111586849_ENSAOCG00000015687","interleukin-1 receptor accessory protein"
118469327,"XM_035941922.2","XP_035797815","gmnc","geminin coiled-coil domain containing"
111587263,"XM_035942402.2","XP_035798295","ostn","osteocrin"
111587265,"XM_023297175.3","XP_023152943","LOC111587265","interacts with SUPT6H, CTD assembly factor 1"
111587267,"XM_035942398.2","XP_035798291","wdr74","WD repeat domain 74"
111587268,"XM_023297178.3","XP_023152946","zgc:162872","BAR_ACAPs and ArfGap_ACAP domain-containing protein"
111587269,"XM_023297180.3","XP_023152948","ilkap","integrin-linked kinase-associated serine/threonine phosphatase"
111586965,"XM_055012000.1","XP_054867975","LOC111586965","latent-transforming growth factor beta-binding protein 4"
111567990,"XM_035947639.2","XP_035803532","esrrd","estrogen-related receptor delta"
111567919,"XM_035947584.2","XP_035803477","shkbp1","SH3KBP1 binding protein 1"
111587126,"XM_023296950.3","XP_023152718","LOC111587126_ENSAOCG00000008719","P2Y purinoceptor 14"
111586919,"XM_055011950.1","XP_054867925","LOC111586919","P2Y purinoceptor 14-like"
111571328,"XM_023274442.3","XP_023130210","gpr171","G protein-coupled receptor 171"
111582890,"XM_055012270.1","XP_054868245","plekhg2","pleckstrin homology domain containing, family G (with RhoGef domain) member 2"
129349317,"XM_055012268.1","XP_054868243","LOC129349317","mucin-2-like.17"
118471738,"XM_055011975.1","XP_054867950","il15l","interleukin 15, like"
111582889,"XM_023291758.3","XP_023147526","triap1","TP53 regulated inhibitor of apoptosis 1"
111582886,"XM_023291756.3","XP_023147524","supt5h","SPT5 homolog, DSIF elongation factor subunit"
111582888,"XM_023291757.3","XP_023147525","rnaset2l","ribonuclease T2, like"
111584135,"XM_023293390.3","XP_023149158","LOC111584135_cox7a1","cytochrome c oxidase subunit 7A2, mitochondrial.2"
111584141,"XM_023293395.1","XP_023149163","LOC111584141","olfactory receptor 49-like.1"
111584140,"XM_023293394.3","XP_023149162","LOC111584140","olfactory receptor 10A6-like"
111584138,"XM_035958673.2","XP_035814566","LOC111584138","olfactory receptor 142-like.1"
111584137,"XM_035958671.2","XP_035814564","LOC111584137","olfactory receptor 6N1-like.1"
111584136,"XM_035958674.2","XP_035814567","LOC111584136","scavenger receptor cysteine-rich type 1 protein M160-like"
111584134,"XM_023293389.3","XP_023149157","zgc:113149_ENSAOCG00000016064","uncharacterized LOC111584134"
111578358,"XM_055011996.1","XP_054867971","zgc:101731","SNARE_SNAP25N and SNARE_SNAP23C domain-containing protein"
111587819,"XM_055011994.1","XP_054867969","LOC111587819","scavenger receptor cysteine-rich type 1 protein M130-like.2"
111586451,"XM_055011888.1","XP_054867863","LOC111586451_ENSAOCG00000006172","scavenger receptor cysteine-rich type 1 protein M160-like.1"
111586452,"XM_023296159.3","XP_023151927","chp2","calcineurin-like EF-hand protein 2"
111576906,"XM_023282877.3","XP_023138645","dlc","deltaC"
111586574,"XM_055012016.1","XP_054867991","timm50","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)"
111586573,"XM_035942065.2","XP_035797958","clip3","CAP-GLY domain containing linker protein 3"
118469232,"XM_055012015.1","XP_054867990","dharma","dharma"
111585675,"XM_055012185.1","XP_054868160","si:ch211-137a8.2","uncharacterized LOC111585675"
111584739,"XM_023293970.3","XP_023149738","si:ch211-137a8.4_ENSAOCG00000018018","neurofilament heavy polypeptide"
111584738,"XM_055012419.1","XP_054868394","zgc:162698","Transmembrane protein 87A-like"
111578348,"XM_055011826.1","XP_054867801","capns1b","calpain, small subunit 1 b"
129349212,"XM_055011833.1","XP_054867808","LOC129349212","uncharacterized LOC129349212"
111564452,"XM_023264026.3","XP_023119794","LOC111564452_ENSAOCG00000003046","anoctamin-7-like.1"
111564450,"XM_055011889.1","XP_054867864","LOC111564450_ENSAOCG00000000060","anoctamin-7-like"
129349380,"XM_055012519.1","XP_054868494","LOC129349380","autophagy-related protein 16-1-like"
111564454,"XM_055012415.1","XP_054868390","LOC111564454","kunitz-type protease inhibitor 2-like"
111575541,"XM_023280744.3","XP_023136512","LOC111575541_ppp1r14ab","protein phosphatase 1 regulatory subunit 14A"
129349355,"XM_055012414.1","XP_054868389","LOC129349355","transmembrane 4 L6 family member 5-like.1"
129349224,"XM_055011878.1","XP_054867853","LOC129349224","mRNA decay activator protein ZFP36L1-like"
111575534,"XM_023280732.3","XP_023136500","LOC111575534_ENSAOCG00000024158","mRNA decay activator protein ZFP36L1"
111575557,"XM_023280764.3","XP_023136532","LOC111575557","transmembrane 4 L6 family member 5-like"
129349328,"XM_055012324.1","XP_054868299","LOC129349328","protein phosphatase 1 regulatory subunit 14A-like"
111575515,"XM_023280709.3","XP_023136477","LOC111575515","kunitz-type protease inhibitor 2-like.1"
111564449,"XM_055012050.1","XP_054868025","LOC111564449_atg16l1","ATG16 autophagy related 16-like 1 (S. cerevisiae)"
111575525,"XM_023280720.3","XP_023136488","LOC111575525_zgc:171927","ras-related protein Rab-1B-like"
111575563,"XM_023280777.3","XP_023136545","rffl","ring finger and FYVE-like domain containing E3 ubiquitin protein ligase"
111578567,"XM_023285452.3","XP_023141220","wdr62","WD repeat domain 62"
111563037,"XM_055012549.1","XP_054868524","LOC111563037","protein Atg16l2"
111563032,"XM_023261914.3","XP_023117682","arrb1","arrestin, beta 1"
111563036,"XM_023261920.3","XP_023117688","LOC111563036_ENSAOCG00000007639","olfactory receptor 51E2-like"
111563035,"XM_055011890.1","XP_054867865","LOC111563035_ENSAOCG00000007651","olfactory receptor 52K2-like"
111588688,"XM_055011892.1","XP_054867867","LOC111588688","olfactory receptor 52E1-like"
111588691,"XM_023299192.3","XP_023154960","abcg1","ATP-binding cassette, sub-family G (WHITE), member 1"
111580532,"XM_023288315.2","XP_023144083","LOC111580532","olfactory receptor 6N1-like"
111563042,"XM_023261927.3","XP_023117695","LOC111563042_SLC35F2","solute carrier family 35 member F2-like"
111563030,"XM_055011861.1","XP_054867836","LOC111563030_CUL5","cullin-5-like"
111563029,"XM_055011863.1","XP_054867838","dcun1d5","DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)"
111563031,"XM_055011862.1","XP_054867837","LOC111563031","mitotic apparatus protein p62"
111563039,"XM_023261924.3","XP_023117692","capn5a_CAPN5","calpain 5a"
111563040,"XM_023261926.3","XP_023117694","ompa","olfactory marker protein a"
111563034,"XM_023261915.3","XP_023117683","rsf1a_ENSAOCG00000007683","remodeling and spacing factor 1a"
111563038,"XM_023261922.3","XP_023117690","LOC111563038_ENSAOCG00000002222","pannexin-1-like"
111568845,"XM_055012179.1","XP_054868154","aamdc","adipogenesis associated, Mth938 domain containing"
111568843,"XM_055012177.1","XP_054868152","ints4","integrator complex subunit 4"
111568846,"XM_023270692.3","XP_023126460","kctd14","potassium channel tetramerization domain containing 14"
111568841,"XM_023270681.3","XP_023126449","rps3","ribosomal protein S3"
111568847,"XM_023270695.3","XP_023126463","rnf168","ring finger protein 168"
111568842,"XM_023270683.3","XP_023126451","LOC111568842_ENSAOCG00000013505","zinc finger protein 883-like"
111568848,"XM_023270697.3","XP_023126465","nyap2a_NYAP2","neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2a"
111568840,"XM_023270680.3","XP_023126448","LOC111568840_atp1b3b","sodium/potassium-transporting ATPase subunit beta-3-like"
129349264,"XM_055011940.1","XP_054867915","LOC129349264","complement C3 alpha chain-like.4"
111567229,"XM_055011893.1","XP_054867868","LOC111567229","probable serpin E3.1"
111568909,"XM_055011894.1","XP_054867869","LOC111568909","probable serpin E3.2"
129349231,"XM_055011895.1","XP_054867870","LOC129349231","probable serpin E3.19"
129349260,"XM_055011936.1","XP_054867911","LOC129349260","DNA-directed RNA polymerase III subunit RPC1-like.14"
129349373,"XM_055012508.1","XP_054868483","LOC129349373","probable serpin E3.21"
111585388,"XM_055012501.1","XP_054868476","LOC111585388","probable serpin E3.10"
111579781,"XM_055012039.1","XP_054868014","LOC111579781_ENSAOCG00000016874","rho GTPase-activating protein 5-like"
129349376,"XM_055012517.1","XP_054868492","LOC129349376","transmembrane protein 187-like"
111586486,"XM_023296213.3","XP_023151981","LOC111586486_yipf6","Yip1 domain family, member 6"
129349352,"XM_055012406.1","XP_054868381","LOC129349352","uncharacterized LOC129349352"
129349351,"XM_055012404.1","XP_054868379","LOC129349351","uncharacterized LOC129349351"
129349237,"XM_055011907.1","XP_054867882","LOC129349237","D-aminoacyl-tRNA deacylase 2-like"
111576671,"XM_055012357.1","XP_054868332","LOC111576671","uncharacterized LOC111576671"
129349332,"XM_055012359.1","XP_054868334","LOC129349332","uncharacterized LOC129349332"
129349361,"XM_055012446.1","XP_054868421","LOC129349361","protein YIPF6"
111586485,"XM_023296212.3","XP_023151980","LOC111586485_TMEM187","transmembrane protein 187"
111571830,"XM_055011969.1","XP_054867944","LOC111571830_ARHGAP5","rho GTPase-activating protein 5"
111579780,"XM_055011897.1","XP_054867872","LOC111579780","A-kinase anchor protein 6-like"
111568791,"XM_055012842.1","XP_054868817","LOC111568791_sypa","synaptophysin-like"
111568790,"XM_023270597.3","XP_023126365","pcsk1nl","proprotein convertase subtilisin/kexin type 1 inhibitor, like"
111585598,"XM_023295165.3","XP_023150933","lhfpl4b_ENSAOCG00000011830","LHFPL tetraspan subfamily member 4b"
111585596,"XM_023295161.3","XP_023150929","hdac6","histone deacetylase 6"
111585599,"XM_023295167.3","XP_023150935","cxxc1a","CXXC finger protein 1a"
111585600,"XM_023295168.3","XP_023150936","zgc:113363_ENSAOCG00000011679","uncharacterized LOC111585600"
111585597,"XM_023295162.3","XP_023150930","tfe3a_ENSAOCG00000011660","transcription factor binding to IGHM enhancer 3a"
111585593,"XM_023295154.3","XP_023150922","fgd1","FYVE, RhoGEF and PH domain containing 1"
111585601,"XM_023295169.3","XP_023150937","LOC111585601_ENSAOCG00000011613","uncharacterized LOC111585601"
111585591,"XM_023295153.3","XP_023150921","mecp2","methyl CpG binding protein 2"
111585594,"XM_055013227.1","XP_054869202","irak1_ENSAOCG00000011571","interleukin-1 receptor-associated kinase 1"
111585595,"XM_055013223.1","XP_054869198","hcfc1b","host cell factor C1b"
111569278,"XM_055013232.1","XP_054869207","ccdc120a_ENSAOCG00000015786","coiled-coil domain containing 120a"
111568631,"XM_023270403.3","XP_023126171","abcd1","ATP-binding cassette, sub-family D (ALD), member 1"
129349524,"XM_055012937.1","XP_054868912","LOC129349524","glutactin"
111584960,"XM_055012933.1","XP_054868908","plxnb3","plexin B3"
111575161,"XM_055012769.1","XP_054868744","srpk3_ENSAOCG00000015787","SRSF protein kinase 3"
129349486,"XM_055012778.1","XP_054868753","LOC129349486","keratin-associated protein 10-11-like"
111575169,"XM_055012780.1","XP_054868755","abt1","activator of basal transcription 1"
111575168,"XM_055012779.1","XP_054868754","rad51c","RAD51 paralog C"
111575172,"XM_055012774.1","XP_054868749","grm6a_GRM6","glutamate receptor, metabotropic 6a"
111575176,"XM_023280138.3","XP_023135906","tsr2","TSR2 ribosome maturation factor"
111563818,"XM_055012789.1","XP_054868764","cdk16","cyclin-dependent kinase 16"
111563817,"XM_023263084.3","XP_023118852","LOC111563817_dnase1l1","deoxyribonuclease-1-like"
129349472,"XM_055012691.1","XP_054868666","LOC129349472","circumsporozoite protein-like"
111563815,"XM_055012690.1","XP_054868665","hm13","histocompatibility (minor) 13"
111563816,"XM_023263082.3","XP_023118850","mrgbp","MRG/MORF4L binding protein"
111588656,"XM_023299136.3","XP_023154904","sulf2b_SULF2","sulfatase 2b"
111588655,"XM_055013131.1","XP_054869106","LOC111588655_ENSAOCG00000001910","myosin-7B-like"
111584474,"XM_055012750.1","XP_054868725","itpr3","inositol 1,4,5-trisphosphate receptor, type 3"
111584475,"XM_023293626.3","XP_023149394","gpr37l1b_GPR37L1","G protein-coupled receptor 37 like 1b"
111584472,"XM_023293624.3","XP_023149392","LOC111584472_arl8a","ADP-ribosylation factor-like protein 8A"
111584476,"XM_035940685.2","XP_035796578","LOC111584476_ENSAOCG00000009214","protein tyrosine phosphatase non-receptor type 7"
118471641,"XM_055013130.1","XP_054869105","LOC118471641","uncharacterized LOC118471641"
111586977,"XM_055013128.1","XP_054869103","LOC111586977_ENSAOCG00000011932","suppressor of tumorigenicity 14 protein homolog.2"
111586008,"XM_055013026.1","XP_054869001","kcnd1","potassium voltage-gated channel, Shal-related subfamily, member 1"
118470456,"XM_055012628.1","XP_054868603","LOC118470456","GRIP1-associated protein 1-like"
111570131,"XM_055012863.1","XP_054868838","LOC111570131","GRIP1-associated protein 1"
111570128,"XM_023272691.3","XP_023128459","ptpn18","protein tyrosine phosphatase non-receptor type 18"
129349500,"XM_055012862.1","XP_054868837","LOC129349500","uncharacterized LOC129349500"
111570130,"XM_023272695.3","XP_023128463","plxna3","plexin A3"
111585419,"XM_023294897.3","XP_023150665","LOC111585419","uncharacterized LOC111585419"
111587982,"XM_055013282.1","XP_054869257","bcap31","B cell receptor associated protein 31"
111587980,"XM_055012630.1","XP_054868605","slc6a8","solute carrier family 6 member 8"
111580970,"XM_055013280.1","XP_054869255","slc35a2","solute carrier family 35 member 2"
111580962,"XM_055013281.1","XP_054869256","pim2","Pim-2 proto-oncogene, serine/threonine kinase"
111563459,"XM_023262531.3","XP_023118299","otud5a","OTU deubiquitinase 5a"
111563458,"XM_023262530.3","XP_023118298","si:ch211-180f4.1_ENSAOCG00000018591","uncharacterized LOC111563458"
118470191,"XM_055012664.1","XP_054868639","elk1","ETS transcription factor ELK1"
111578845,"XM_023285822.3","XP_023141590","uxt","ubiquitously-expressed, prefoldin-like chaperone"
111578856,"XM_055012659.1","XP_054868634","LOC111578856_cdk20","cyclin-dependent kinase 20"
118471006,"XM_055012639.1","XP_054868614","LOC118471006","erythroid transcription factor-like"
111583471,"XM_055012744.1","XP_054868719","magixa","MAGI family member, X-linked a"
111571270,"XM_055012631.1","XP_054868606","cacna1fb","calcium channel, voltage-dependent, L type, alpha 1F subunit"
111571577,"XM_055013189.1","XP_054869164","LOC111571577","PDZ domain-containing protein 4-like"
129349551,"XM_055013191.1","XP_054869166","LOC129349551","polymeric immunoglobulin receptor-like.3"
111571570,"XM_055013089.1","XP_054869064","LOC111571570_ENSAOCG00000013773","L-rhamnose-binding lectin SML-like"
111571584,"XM_055013088.1","XP_054869063","atp6ap1a","ATPase H+ transporting accessory protein 1a"
111583551,"XM_055013277.1","XP_054869252","tafazzin","tafazzin, phospholipid-lysophospholipid transacylase"
111583552,"XM_023292698.3","XP_023148466","si:dkey-150i13.2_ENSAOCG00000012852","mitochondrial carnitine/acylcarnitine carrier protein"
111583553,"XM_023292699.3","XP_023148467","ndnl2","necdin-like 2"
111583550,"XM_055012733.1","XP_054868708","si:dkey-96f10.1_ENSAOCG00000012639","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"
129349438,"XM_055012634.1","XP_054868609","LOC129349438","uncharacterized LOC129349438"
111571153,"XM_055012828.1","XP_054868803","LOC111571153_ENSAOCG00000014231","neural cell adhesion molecule L1.1-like"
111588766,"XM_055012996.1","XP_054868971","srms","src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites"
111582137,"XM_055012637.1","XP_054868612","LOC111582137_nol4lb","nucleolar protein 4-like"
129349440,"XM_055012638.1","XP_054868613","LOC129349440","uncharacterized LOC129349440"
129349409,"XM_055012585.1","XP_054868560","LOC129349409","nucleolar protein 4-like.1"
111568666,"XM_035948267.2","XP_035804160","LOC111568666","polymeric immunoglobulin receptor-like"
111568664,"XM_023270419.3","XP_023126187","mapre1b","microtubule-associated protein, RP/EB family, member 1b"
111568665,"XM_035948268.2","XP_035804161","LOC111568665_ENSAOCG00000019544","uncharacterized LOC111568665"
111586880,"XM_055013108.1","XP_054869083","dnmt3bb.1","DNA (cytosine-5-)-methyltransferase 3 beta, duplicate b.1"
111580766,"XM_055013263.1","XP_054869238","commd7","COMM domain containing 7"
111576173,"XM_035953597.2","XP_035809490","LOC111576173","uncharacterized LOC111576173"
111576147,"XM_023281695.3","XP_023137463","cables2b_ENSAOCG00000023191","Cdk5 and Abl enzyme substrate 2b"
111576156,"XM_023281708.3","XP_023137476","ccm2l","CCM2 like scaffold protein"
111576182,"XM_023281749.3","XP_023137517","LOC111576182_xkr7b","XK-related protein 7-like"
129349442,"XM_055012640.1","XP_054868615","LOC129349442","uncharacterized LOC129349442"
111587464,"XM_023297422.3","XP_023153190","sox18","SRY-box transcription factor 18"
111568675,"XM_055013141.1","XP_054869116","tns2a_ENSAOCG00000018739","tensin 2a"
111568679,"XM_023270440.3","XP_023126208","tmem106c","transmembrane protein 106C"
111568684,"XM_055013145.1","XP_054869120","LOC111568684_ENSAOCG00000018673","PTB domain-containing engulfment adapter protein 1-like"
111568678,"XM_023270439.2","XP_023126207","sars1","seryl-tRNA synthetase 1"
111568681,"XM_023270443.3","XP_023126211","si:ch211-207e14.4_ENSAOCG00000001339","interleukin-17 receptor D"
111568680,"XM_023270441.3","XP_023126209","fam50a","family with sequence similarity 50 member A"
111568685,"XM_035948280.2","XP_035804173","cav4b","caveolin 4b"
111568676,"XM_023270437.3","XP_023126205","arhgap4b_ENSAOCG00000018499","Rho GTPase activating protein 4b"
111568682,"XM_055013214.1","XP_054869189","zgc:103759","U8 snoRNA-decapping enzyme"
111568683,"XM_035948281.2","XP_035804174","gss","glutathione synthetase"
111564475,"XM_055012820.1","XP_054868795","LOC111564475","monocarboxylate transporter 1-like"
111564474,"XM_055012823.1","XP_054868798","avpr2ab_AVPR2","arginine vasopressin receptor 2a, duplicate b"
111569363,"XM_055012821.1","XP_054868796","LOC111569363_ENSAOCG00000012494","isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
111586906,"XM_055012680.1","XP_054868655","fam120c","family with sequence similarity 120 member C"
111584420,"XM_023293577.3","XP_023149345","acss2","acyl-CoA synthetase short chain family member 2"
111584421,"XM_023293580.3","XP_023149348","LOC111584421_ENSAOCG00000010597","tubulin alpha-1A chain-like.2"
111584417,"XM_055012783.1","XP_054868758","snphb_SNPH","syntaphilin b"
111584415,"XM_023293569.3","XP_023149337","sdcbp2","syndecan binding protein (syntenin) 2"
111584418,"XM_023293576.3","XP_023149344","fkbp1ab","FKBP prolyl isomerase 1Ab"
111584416,"XM_023293570.3","XP_023149338","nsfl1c","NSFL1 (p97) cofactor (p47)"
111582431,"XM_055013154.1","XP_054869129","wu:fa11c10_ENSAOCG00000014648","protein FAM110A"
111575588,"XM_023280814.2","XP_023136582","LOC111575588_cox4i2","cytochrome c oxidase subunit 4 isoform 2, mitochondrial"
111575580,"XM_023280802.3","XP_023136570","bcl2l1","BCL2 like 1"
111575572,"XM_055013153.1","XP_054869128","arfgef2","ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)"
111570578,"XM_055013156.1","XP_054869131","pard6b_ENSAOCG00000002721","par-6 partitioning defective 6 homolog beta (C. elegans)"
111570590,"XM_023273439.3","XP_023129207","adnpb","activity-dependent neuroprotector homeobox b"
111570588,"XM_023273438.3","XP_023129206","dpm1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
111570579,"XM_023273426.3","XP_023129194","LOC111570579","collagen alpha-1(XX) chain"
111570581,"XM_023273428.3","XP_023129196","slc35c2_ENSAOCG00000010135","solute carrier family 35 member C2"
111570582,"XM_023273429.3","XP_023129197","taf13","TATA-box binding protein associated factor 13"
111570587,"XM_023273437.3","XP_023129205","tnnc2.2","troponin C2, fast skeletal type, tandem duplicate 2"
111570583,"XM_023273432.3","XP_023129200","LOC111570583_TNNC2","troponin C, skeletal muscle"
111570584,"XM_023273433.3","XP_023129201","LOC111570584_ENSAOCG00000009967","olfactory receptor 14A16"
111570585,"XM_023273434.3","XP_023129202","si:rp71-17i16.5_ENSAOCG00000009961","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit"
111570586,"XM_055013062.1","XP_054869037","lamb2l_ENSAOCG00000009923","laminin, beta 2-like"
111584481,"XM_035940689.2","XP_035796582","lamb2","laminin, beta 2 (laminin S)"
111584480,"XM_023293634.3","XP_023149402","LOC111584480_ENSAOCG00000009186","tubulin alpha-1A chain-like.3"
111573023,"XM_055013138.1","XP_054869113","usp19","ubiquitin specific peptidase 19"
111579965,"XM_023287508.3","XP_023143276","si:dkey-32e6.3_ENSAOCG00000007689","uncharacterized si:dkey-32e6.3"
111579966,"XM_023287512.3","XP_023143280","LOC111579966_ENSAOCG00000007708","kelch domain-containing protein 8B"
129349422,"XM_055012605.1","XP_054868580","LOC129349422","uncharacterized LOC129349422"
129349423,"XM_055012606.1","XP_054868581","LOC129349423","uncharacterized LOC129349423"
111571385,"XM_055013265.1","XP_054869240","LOC111571385_ENSAOCG00000008124","scavenger receptor cysteine-rich type 1 protein M130"
111571386,"XM_023274499.3","XP_023130267","si:dkey-8e10.3","serine/threonine-protein kinase SBK1"
111565154,"XM_023265165.3","XP_023120933","pim1","Pim-1 proto-oncogene, serine/threonine kinase"
111565161,"XM_055012663.1","XP_054868638","LOC111565161","tumor necrosis factor receptor superfamily member 14-like"
111565151,"XM_023265161.3","XP_023120929","dnase1l1_ENSAOCG00000019015","deoxyribonuclease I-like 1"
111565163,"XM_023265176.3","XP_023120944","rpl10","ribosomal protein L10"
111565150,"XM_055012607.1","XP_054868582","flna","filamin A, alpha (actin binding protein 280)"
111565156,"XM_023265168.3","XP_023120936","emd","emerin"
111565160,"XM_023265174.3","XP_023120942","si:dkey-93l1.9_ENSAOCG00000018797","uncharacterized LOC111565160"
111565159,"XM_023265173.3","XP_023120941","mrpl49","mitochondrial ribosomal protein L49"
111565158,"XM_023265172.3","XP_023120940","haus7_ENSAOCG00000018763","HAUS augmin-like complex, subunit 7"
111565155,"XM_023265166.3","XP_023120934","las1l","LAS1 like ribosome biogenesis factor"
111565152,"XM_055013167.1","XP_054869142","crebzf_ENSAOCG00000018692","CREB/ATF bZIP transcription factor"
111565157,"XM_055013165.1","XP_054869140","atp2b3b_atp2b3a","ATPase plasma membrane Ca2+ transporting 3b"
111582020,"XM_023290483.3","XP_023146251","ccnq","cyclin Q"
111582022,"XM_023290487.3","XP_023146255","cfap126_ENSAOCG00000006162","cilia and flagella associated protein 126"
111582021,"XM_023290484.3","XP_023146252","zgc:101663","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C"
111582016,"XM_055012763.1","XP_054868738","ap4b1","adaptor related protein complex 4 subunit beta 1"
111582015,"XM_023290474.3","XP_023146242","sephs3","selenophosphate synthetase 3"
111582017,"XM_023290476.3","XP_023146244","ikbkg","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma"
111582019,"XM_023290482.3","XP_023146250","tmed4","transmembrane p24 trafficking protein 4"
111582018,"XM_023290481.3","XP_023146249","plpbp","pyridoxal phosphate binding protein"
111582025,"XM_023290490.3","XP_023146258","snrpg","small nuclear ribonucleoprotein polypeptide G"
111582024,"XM_023290489.3","XP_023146257","si:ch211-148l7.4_ENSAOCG00000006455","uncharacterized LOC111582024"
111582026,"XM_023290493.3","XP_023146261","tbc1d22b","TBC1 domain family, member 22B"
111582014,"XM_023290472.3","XP_023146240","myt1b_MYT1","myelin transcription factor 1b"
111582027,"XM_055013236.1","XP_054869211","LOC111582027_PCMTD2","protein-L-isoaspartate O-methyltransferase domain-containing protein 2"
111572576,"XM_055012931.1","XP_054868906","kif3b","kinesin family member 3B"
111572590,"XM_023276329.3","XP_023132097","pofut1","protein O-fucosyltransferase 1"
111570520,"XM_023273338.3","XP_023129106","plagl2","pleiomorphic adenoma gene-like 2"
111570512,"XM_023273326.3","XP_023129094","tm9sf4","transmembrane 9 superfamily protein member 4"
111570488,"XM_023273293.3","XP_023129061","hck","HCK proto-oncogene, Src family tyrosine kinase"
111570500,"XM_023273304.3","XP_023129072","rbbp8l_ENSAOCG00000016886","retinoblastoma binding protein 8-like"
111576987,"XM_035954216.2","XP_035810109","gata5","GATA binding protein 5"
111586647,"XM_023296412.3","XP_023152180","LOC111586647_tuba1b","tubulin alpha-1A chain"
111586646,"XM_023296411.3","XP_023152179","tuba1c","tubulin, alpha 1c"
111586648,"XM_055012688.1","XP_054868663","pmelb","premelanosome protein b"
111585844,"XM_023295460.3","XP_023151228","sarnp","SAP domain containing ribonucleoprotein"
111585846,"XM_055013042.1","XP_054869017","ccnt1","cyclin T1"
111585845,"XM_023295461.2","XP_023151229","kansl2","KAT8 regulatory NSL complex subunit 2"
111569054,"XM_055013203.1","XP_054869178","nckap5l_ENSAOCG00000006370","NCK-associated protein 5-like"
111569050,"XM_023270995.3","XP_023126763","tegt_TMBIM6","testis enhanced gene transcript (BAX inhibitor 1)"
111569053,"XM_023270998.3","XP_023126766","ctdsp2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
111569049,"XM_023270993.3","XP_023126761","LOC111569049_SLC11A2","natural resistance-associated macrophage protein 2-like"
111569051,"XM_023270997.3","XP_023126765","marchf9","membrane-associated ring finger (C3HC4) 9"
111586666,"XM_023296437.3","XP_023152205","tspan31","tetraspanin 31"
111586954,"XM_055012812.1","XP_054868787","agap2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
111586955,"XM_023296798.3","XP_023152566","LOC111586955_ZBTB39","zinc finger and BTB domain-containing protein 39"
111562618,"XM_023261246.3","XP_023117014","gpr182","G protein-coupled receptor 182"
111562617,"XM_023261245.3","XP_023117013","pip4k2ca_ENSAOCG00000005682","phosphatidylinositol-5-phosphate 4-kinase, type II, gamma a"
111562613,"XM_023261239.3","XP_023117007","igfbp6b","insulin-like growth factor binding protein 6b"
111562616,"XM_023261242.3","XP_023117010","spryd3","SPRY domain containing 3"
111562614,"XM_055013122.1","XP_054869097","lima1a","LIM domain and actin binding 1a"
118469318,"XM_055013249.1","XP_054869224","LOC118469318","tumor necrosis factor receptor superfamily member 14-like.2"
111586298,"XM_055012883.1","XP_054868858","LOC111586298","tumor necrosis factor receptor superfamily member 14-like.1"
111568890,"XM_055012697.1","XP_054868672","soga1","suppressor of glucose, autophagy associated 1"
111568889,"XM_023270751.3","XP_023126519","osbpl2b","oxysterol binding protein-like 2b"
111568888,"XM_035948390.2","XP_035804283","bsna_BSN","bassoon presynaptic cytomatrix protein a"
